rank,final_worth,category,personName,age,country,source,industry_billionaires,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,population_country,source_1,source_2,source_3
486,5400,Fashion & Retail,Stefan Reimann-Andersen,59.0,Austria,Consumer goods,Fashion & Retail,Germany,False,D,M,7/13/1963 0:00,Reimann-Andersen,Stefan,1963.0,7.0,13.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,8877067.0,Consumer goods,,
486,5400,Fashion & Retail,Renate Reimann-Haas,71.0,Austria,Consumer goods,Fashion & Retail,Germany,False,D,F,10/8/1951 0:00,Reimann-Haas,Renate,1951.0,10.0,8.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,8877067.0,Consumer goods,,
497,5300,Finance & Investments,Todd Boehly,49.0,United States,Finance,Finance & Investments,United States,True,U,M,9/20/1973 0:00,Boehly,Todd,1973.0,9.0,20.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Finance,,
497,5300,Real Estate,Rick Caruso,64.0,United States,Real estate,Real Estate,United States,True,U,M,1/7/1959 0:00,Caruso,Rick,1959.0,1.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Real estate,,
497,5300,Manufacturing,Ibrahim Erdemoglu,60.0,Turkey,Carpet,Manufacturing,Turkey,True,U,M,9/26/1962 0:00,Erdemoglu,Ibrahim,1962.0,9.0,26.0,234.44,15.2,754411708203.0,23.9,93.2,77.4,83429615.0,Carpet,,
497,5300,Finance & Investments,Elizabeth Johnson,59.0,United States,Fidelity,Finance & Investments,United States,False,U,F,5/7/1963 0:00,Johnson,Elizabeth,1963.0,5.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Fidelity,,
497,5300,Finance & Investments,Douglas Leone,65.0,United States,Venture capital,Finance & Investments,United States,True,D,M,7/4/1957 0:00,Leone,Douglas,1957.0,7.0,4.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Venture capital,,
497,5300,Diversified,Prajogo Pangestu,78.0,Indonesia,Petrochemicals,Diversified,Indonesia,False,D,M,5/13/1944 0:00,Pangestu,Prajogo,1944.0,5.0,13.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,270203917.0,Petrochemicals,,
497,5300,Finance & Investments,Thomas Pritzker,72.0,United States,"Hotels, investments",Finance & Investments,United States,False,U,M,6/6/1950 0:00,Pritzker,Thomas,1950.0,6.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hotels, investments,
497,5300,Food & Beverage,Lynda Resnick,80.0,United States,Agriculture,Food & Beverage,United States,True,Split Family Fortune,F,1/2/1943 0:00,Resnick,Lynda,1943.0,1.0,2.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Agriculture,,
497,5300,Food & Beverage,Stewart Resnick,86.0,United States,Agriculture,Food & Beverage,United States,True,Split Family Fortune,M,12/24/1936 0:00,Resnick,Stewart,1936.0,12.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Agriculture,,
497,5300,Service,Gary Rollins,78.0,United States,Pest control,Service,United States,False,E,M,8/30/1944 0:00,Rollins,Gary,1944.0,8.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Pest control,,
497,5300,Finance & Investments,Mark Walter,62.0,United States,"Finance, asset management",Finance & Investments,United States,True,U,M,5/22/1960 0:00,Walter,Mark,1960.0,5.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Finance, asset management,
497,5300,Manufacturing,Ronald Wanek,81.0,United States,Furniture,Manufacturing,United States,True,D,M,5/19/1941 0:00,Wanek,Ronald,1941.0,5.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Furniture,,
497,5300,Food & Beverage,Erich Wesjohann & family,77.0,Germany,Poultry genetics,Food & Beverage,Germany,True,D,M,6/2/1945 0:00,Wesjohann,Erich,1945.0,6.0,2.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Poultry genetics,,
497,5300,Fashion & Retail,M.A. Yusuff Ali,67.0,United Arab Emirates,Retail,Fashion & Retail,India,True,D,M,11/15/1955 0:00,Yusuff Ali,M.A.,1955.0,11.0,15.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,9770529.0,Retail,,
511,5200,Finance & Investments,Alexandre Behring,56.0,United States,Investments,Finance & Investments,Brazil,True,U,M,2/20/1967 0:00,Behring,Alexandre,1967.0,2.0,20.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Investments,,
511,5200,Food & Beverage,Cheng Xue,53.0,China,Soy sauce,Food & Beverage,China,True,D,F,2/26/1970 0:00,Cheng,Xue,1970.0,2.0,26.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Soy sauce,,
511,5200,Real Estate,Robert Faith,59.0,United States,Real estate management,Real Estate,United States,True,N,M,10/3/1963 0:00,Faith,Robert,1963.0,10.0,3.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Real estate management,,
511,5200,Fashion & Retail,Gao Dekang & family,71.0,China,Apparel,Fashion & Retail,China,True,U,M,2/1/1952 0:00,Gao,Dekang,1952.0,2.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Apparel,,
511,5200,Fashion & Retail,Micky Jagtiani,71.0,United Arab Emirates,Retail,Fashion & Retail,India,False,U,M,9/28/1951 0:00,Jagtiani,Micky,1951.0,9.0,28.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,9770529.0,Retail,,
511,5200,Telecom,Ananda Krishnan,85.0,Malaysia,"Telecoms, media, oil-services",Telecom,Malaysia,True,D,M,4/1/1938 0:00,Krishnan,Ananda,1938.0,4.0,1.0,121.46,0.7,364701517788.0,45.1,105.3,76.0,32447385.0,Telecoms, media, oil-services
511,5200,Technology,Barry Lam,73.0,Taiwan,Electronics,Technology,Taiwan,True,D,M,4/24/1949 0:00,Lam,Barry,1949.0,4.0,24.0,,,,,,,,Electronics,,
511,5200,Food & Beverage,"Robert Rich, Jr.",82.0,United States,Frozen foods,Food & Beverage,United States,False,U,M,1/25/1941 0:00,Rich,Robert,1941.0,1.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Frozen foods,,
511,5200,Gambling & Casinos,Mark Scheinberg,49.0,United Kingdom,Online gambling,Gambling & Casinos,Canada,True,D,M,12/27/1973 0:00,Scheinberg,Mark,1973.0,12.0,27.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,66834405.0,Online gambling,,
511,5200,Technology,Charles Simonyi,74.0,United States,Microsoft,Technology,United States,True,D,M,9/10/1948 0:00,Simonyi,Charles,1948.0,9.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Microsoft,,
511,5200,Real Estate,Ty Warner,78.0,United States,"Plush toys, real estate",Real Estate,United States,True,U,M,9/3/1944 0:00,Warner,Ty,1944.0,9.0,3.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Plush toys, real estate,
511,5200,Real Estate,Sam Zell,81.0,United States,"Real estate, private equity",Real Estate,United States,True,D,M,9/28/1941 0:00,Zell,Sam,1941.0,9.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Real estate, private equity,
523,5100,Manufacturing,Fang Wei,49.0,China,Steel,Manufacturing,China,True,U,M,9/4/1973 0:00,Fang,Wei,1973.0,9.0,4.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Steel,,
523,5100,Finance & Investments,Rekha Jhunjhunwala,59.0,India,Investments,Finance & Investments,India,False,N,F,9/12/1963 0:00,Jhunjhunwala,Rekha,1963.0,9.0,12.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Investments,,
523,5100,Finance & Investments,Charles B. Johnson,90.0,United States,Franklin Templeton,Finance & Investments,United States,False,E,M,1/6/1933 0:00,Johnson,Charles B.,1933.0,1.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Franklin Templeton,,
523,5100,Media & Entertainment,Kwon Hyuk-bin,49.0,South Korea,Online games,Media & Entertainment,South Korea,True,D,M,1/1/1974 0:00,Kwon,Hyuk-bin,1974.0,1.0,1.0,115.16,0.4,2029000000000.0,94.3,98.1,82.6,51709098.0,Online games,,
523,5100,Finance & Investments,Sami Mnaymneh,61.0,United States,Private equity,Finance & Investments,United States,True,U,M,7/13/1961 0:00,Mnaymneh,Sami,1961.0,7.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Private equity,,
523,5100,Logistics,Kjell Inge Rokke,64.0,Norway,"Shipping, seafood",Logistics,Norway,True,D,M,10/25/1958 0:00,Rokke,Kjell Inge,1958.0,10.0,25.0,120.27,2.2,403336363636.0,82.0,100.3,82.8,5347896.0,Shipping, seafood,
523,5100,Finance & Investments,Tony Tamer,65.0,United States,Private equity,Finance & Investments,United States,True,U,M,10/12/1957 0:00,Tamer,Tony,1957.0,10.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Private equity,,
523,5100,Healthcare,Tse Ping & family,71.0,Hong Kong,Pharmaceuticals,Healthcare,China,True,D,M,1/3/1952 0:00,Tse,Ping,1952.0,1.0,3.0,,,,,,,,Pharmaceuticals,,
523,5100,Technology,Romesh T. Wadhwani,75.0,United States,Software,Technology,United States,True,U,M,8/25/1947 0:00,Wadhwani,Romesh T.,1947.0,8.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Software,,
523,5100,Healthcare,Hansjoerg Wyss,88.0,United States,Medical devices,Healthcare,Switzerland,True,U,M,1/1/1935 0:00,Wyss,Hansjoerg,1935.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Medical devices,,
523,5100,Sports,Denise York & family,72.0,United States,San Francisco 49ers,Sports,United States,False,U,F,10/21/1950 0:00,York,Denise,1950.0,10.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,San Francisco 49ers,,
534,5000,Finance & Investments,Ron Baron,79.0,United States,Money management,Finance & Investments,United States,True,U,M,5/23/1943 0:00,Baron,Ron,1943.0,5.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Money management,,
534,5000,Energy,Robert Bass,75.0,United States,"Oil, investments",Energy,United States,False,D,M,3/19/1948 0:00,Bass,Robert,1948.0,3.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Oil, investments,
534,5000,Healthcare,Dona Bertarelli,55.0,Switzerland,Biotech and investments,Healthcare,Switzerland,False,U,F,1/1/1968 0:00,Bertarelli,Dona,1968.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Biotech and investments,,
534,5000,Finance & Investments,Alexander Gerko,43.0,United Kingdom,Trading,Finance & Investments,United Kingdom,True,N,M,12/3/1979 0:00,Gerko,Alexander,1979.0,12.0,3.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,66834405.0,Trading,,
534,5000,Technology,Martin Haefner,69.0,Switzerland,"Software, investments",Technology,Switzerland,False,U,M,1/1/1954 0:00,Haefner,Martin,1954.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Software, investments,
534,5000,Telecom,"Robert Hale, Jr.",56.0,United States,Telecom,Telecom,United States,True,U,M,7/8/1966 0:00,Hale,Robert,1966.0,7.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Telecom,,
534,5000,Healthcare,Viktor Kharitonin,50.0,Russia,Pharmaceuticals,Healthcare,Russia,True,U,M,11/20/1972 0:00,Kharitonin,Viktor,1972.0,11.0,20.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Pharmaceuticals,,
534,5000,Technology,Kim Beom-su,57.0,South Korea,Online services,Technology,South Korea,True,D,M,3/27/1966 0:00,Kim,Beom-su,1966.0,3.0,27.0,115.16,0.4,2029000000000.0,94.3,98.1,82.6,51709098.0,Online services,,
534,5000,Fashion & Retail,Jane Lauder,50.0,United States,Estée Lauder,Fashion & Retail,United States,False,D,F,1/1/1973 0:00,Lauder,Jane,1973.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Estée Lauder,,
534,5000,Fashion & Retail,Michel Leclercq & family,83.0,France,Sporting goods,Fashion & Retail,France,False,U,M,5/27/1939 0:00,Leclercq,Michel,1939.0,5.0,27.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,67059887.0,Sporting goods,,
534,5000,Media & Entertainment,George Lucas,78.0,United States,Star Wars,Media & Entertainment,United States,True,D,M,5/14/1944 0:00,Lucas,George,1944.0,5.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Star Wars,,
534,5000,Sports,Janice McNair,86.0,United States,"Energy, sports",Sports,United States,False,U,F,9/30/1936 0:00,McNair,Janice,1936.0,9.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Energy, sports,
534,5000,Healthcare,Ugur Sahin,57.0,Germany,Biotechnology,Healthcare,Germany,True,D,M,9/19/1965 0:00,Sahin,Ugur,1965.0,9.0,19.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Biotechnology,,
534,5000,Real Estate,Alexandra Schoerghuber & family,64.0,Germany,Real estate,Real Estate,Germany,False,U,F,7/24/1958 0:00,Schoerghuber,Alexandra,1958.0,7.0,24.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Real estate,,
534,5000,Healthcare,Thomas Straumann,59.0,Switzerland,Dental implants,Healthcare,Switzerland,False,D,M,7/22/1963 0:00,Straumann,Thomas,1963.0,7.0,22.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Dental implants,,
534,5000,Food & Beverage,Murat Ulker,64.0,Turkey,Food,Food & Beverage,Turkey,False,U,M,3/23/1959 0:00,Ulker,Murat,1959.0,3.0,23.0,234.44,15.2,754411708203.0,23.9,93.2,77.4,83429615.0,Food,,
534,5000,Fashion & Retail,Chip Wilson,66.0,Canada,Lululemon,Fashion & Retail,Canada,True,D,M,1/1/1957 0:00,Wilson,Chip,1957.0,1.0,1.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,36991981.0,Lululemon,,
534,5000,Real Estate,Zhu Yan & family,65.0,China,Real estate,Real Estate,China,False,U,F,,Zhu,Yan,,,,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Real estate,,
552,4900,Manufacturing,Jim Davis & family,79.0,United States,New Balance,Manufacturing,United States,True,D,M,5/17/1943 0:00,Davis,Jim,1943.0,5.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,New Balance,,
552,4900,Healthcare,Murali Divi & family,72.0,India,Pharmaceuticals,Healthcare,India,True,D,M,3/17/1951 0:00,Divi,Murali,1951.0,3.0,17.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Pharmaceuticals,,
552,4900,Technology,Dagmar Dolby & family,81.0,United States,Dolby Laboratories,Technology,United States,False,U,F,6/28/1941 0:00,Dolby,Dagmar,1941.0,6.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Dolby Laboratories,,
552,4900,Technology,Marcos Galperin,65.0,Argentina,E-commerce,Technology,Argentina,True,U,M,,Galperin,Marcos,,,,232.75,53.5,449663446954.0,90.0,109.7,76.5,44938712.0,E-commerce,,
552,4900,Service,Tom Golisano,81.0,United States,Payroll services,Service,United States,True,D,M,11/14/1941 0:00,Golisano,Tom,1941.0,11.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Payroll services,,
552,4900,Finance & Investments,Jonathan Gray,53.0,United States,Investments,Finance & Investments,United States,True,D,M,2/4/1970 0:00,Gray,Jonathan,1970.0,2.0,4.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Investments,,
552,4900,Finance & Investments,Bidzina Ivanishvili,67.0,Georgia,Investments,Finance & Investments,Georgia,True,U,M,2/18/1956 0:00,Ivanishvili,Bidzina,1956.0,2.0,18.0,133.61,4.9,17743195770.0,63.9,98.6,73.6,3720382.0,Investments,,
552,4900,Metals & Mining,Lim Hariyanto Wijaya Sarwono,94.0,Indonesia,"Palm oil, nickel mining",Metals & Mining,Indonesia,True,U,M,11/1/1928 0:00,Lim,Hariyanto Wijaya Sarwono,1928.0,11.0,1.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,270203917.0,Palm oil, nickel mining,
552,4900,Healthcare,Rudolf Maag,77.0,Switzerland,Medical devices,Healthcare,Switzerland,True,D,M,1/31/1946 0:00,Maag,Rudolf,1946.0,1.0,31.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Medical devices,,
552,4900,Food & Beverage,Emanuele (Lino) Saputo & family,86.0,Canada,Cheese,Food & Beverage,Canada,False,U,M,1/1/1937 0:00,Saputo,Emanuele (Lino),1937.0,1.0,1.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,36991981.0,Cheese,,
552,4900,Automotive,Mark Shoen,72.0,United States,U-Haul,Automotive,United States,False,U,M,11/20/1950 0:00,Shoen,Mark,1950.0,11.0,20.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,U-Haul,,
552,4900,Sports,Dan Snyder,58.0,United States,Washington Commanders,Sports,United States,True,U,M,11/23/1964 0:00,Snyder,Dan,1964.0,11.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Washington Commanders,,
552,4900,Diversified,Chairul Tanjung,60.0,Indonesia,Diversified,Diversified,Indonesia,True,D,M,6/18/1962 0:00,Tanjung,Chairul,1962.0,6.0,18.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,270203917.0,Diversified,,
552,4900,Energy,Kelcy Warren,67.0,United States,Pipelines,Energy,United States,True,U,M,11/9/1955 0:00,Warren,Kelcy,1955.0,11.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Pipelines,,
552,4900,Fashion & Retail,Zhang Tao,50.0,China,E-commerce,Fashion & Retail,China,True,D,M,11/1/1972 0:00,Zhang,Tao,1972.0,11.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,E-commerce,,
567,4800,Fashion & Retail,Michael Ashley,58.0,United Kingdom,Sports retailing,Fashion & Retail,United Kingdom,True,U,M,9/12/1964 0:00,Ashley,Michael,1964.0,9.0,12.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,66834405.0,Sports retailing,,
567,4800,Fashion & Retail,Tomasz Biernacki,50.0,Poland,Supermarkets,Fashion & Retail,Poland,True,U,M,1/1/1973 0:00,Biernacki,Tomasz,1973.0,1.0,1.0,114.11,2.2,592164400688.0,67.8,100.0,77.6,37970874.0,Supermarkets,,
567,4800,Healthcare,Bernard Broermann,79.0,Germany,Hospitals,Healthcare,Germany,True,U,M,11/22/1943 0:00,Broermann,Bernard,1943.0,11.0,22.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Hospitals,,
567,4800,Fashion & Retail,Jimmy Haslam,69.0,United States,"Gas stations, retail",Fashion & Retail,United States,False,U,M,3/9/1954 0:00,Haslam,Jimmy,1954.0,3.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Gas stations, retail,
567,4800,Manufacturing,H. Fisk Johnson,64.0,United States,Cleaning products,Manufacturing,United States,False,U,M,5/19/1958 0:00,Johnson,H. Fisk,1958.0,5.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Cleaning products,,
567,4800,Manufacturing,S. Curtis Johnson,67.0,United States,Cleaning products,Manufacturing,United States,False,U,M,5/5/1955 0:00,Johnson,S. Curtis,1955.0,5.0,5.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Cleaning products,,
567,4800,Manufacturing,Helen Johnson-Leipold,66.0,United States,Cleaning products,Manufacturing,United States,False,U,F,12/30/1956 0:00,Johnson-Leipold,Helen,1956.0,12.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Cleaning products,,
567,4800,Technology,Vinod Khosla,68.0,United States,Venture capital,Technology,United States,True,D,M,1/28/1955 0:00,Khosla,Vinod,1955.0,1.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Venture capital,,
567,4800,Technology,Thai Lee,64.0,United States,IT provider,Technology,United States,True,U,F,11/27/1958 0:00,Lee,Thai,1958.0,11.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,IT provider,,
567,4800,Manufacturing,Winifred J. Marquart,63.0,United States,Cleaning products,Manufacturing,United States,False,U,F,4/6/1959 0:00,Marquart,Winifred J.,1959.0,4.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Cleaning products,,
567,4800,Healthcare,Pankaj Patel,70.0,India,Pharmaceuticals,Healthcare,India,False,U,M,3/19/1953 0:00,Patel,Pankaj,1953.0,3.0,19.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Pharmaceuticals,,
567,4800,Manufacturing,Horst Julius Pudwill,78.0,Hong Kong,Manufacturing,Manufacturing,Germany,True,D,M,10/23/1944 0:00,Pudwill,Horst Julius,1944.0,10.0,23.0,,,,,,,,Manufacturing,,
567,4800,Finance & Investments,Yu Yong,62.0,China,Mining,Finance & Investments,China,True,U,M,2/1/1961 0:00,Yu,Yong,1961.0,2.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Mining,,
580,4700,Diversified,Maria Fernanda Amorim & family,88.0,Portugal,"Energy, investments",Diversified,Portugal,False,E,F,1/16/1935 0:00,Amorim,Maria Fernanda,1935.0,1.0,16.0,110.62,0.3,237686075635.0,63.9,106.2,81.3,10269417.0,Energy, investments,
580,4700,Sports,Gayle Benson,76.0,United States,New Orleans Saints,Sports,United States,False,U,F,1/26/1947 0:00,Benson,Gayle,1947.0,1.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,New Orleans Saints,,
580,4700,Technology,Jason Chang,78.0,Taiwan,Electronics,Technology,Singapore,True,U,M,5/1/1944 0:00,Chang,Jason,1944.0,5.0,1.0,,,,,,,,Electronics,,
580,4700,Manufacturing,Ali Erdemoglu,63.0,Turkey,Carpet,Manufacturing,Turkey,True,U,M,11/20/1959 0:00,Erdemoglu,Ali,1959.0,11.0,20.0,234.44,15.2,754411708203.0,23.9,93.2,77.4,83429615.0,Carpet,,
580,4700,Finance & Investments,Andre Esteves,54.0,Brazil,Banking,Finance & Investments,Brazil,True,D,M,7/12/1968 0:00,Esteves,Andre,1968.0,7.0,12.0,167.4,3.7,1839758040766.0,51.3,115.4,75.7,212559417.0,Banking,,
580,4700,Real Estate,Carlo Fidani,68.0,Canada,Real estate,Real Estate,Canada,False,U,M,1/1/1955 0:00,Fidani,Carlo,1955.0,1.0,1.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,36991981.0,Real estate,,
580,4700,Technology,Hong Ra-hee,77.0,South Korea,Samsung,Technology,South Korea,False,D,F,7/15/1945 0:00,Hong,Ra-hee,1945.0,7.0,15.0,115.16,0.4,2029000000000.0,94.3,98.1,82.6,51709098.0,Samsung,,
580,4700,Manufacturing,Li Gaiteng,50.0,China,Hair dryers,Manufacturing,China,True,U,M,4/8/1972 0:00,Li,Gaiteng,1972.0,4.0,8.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Hair dryers,,
580,4700,Media & Entertainment,Thomas Secunda,68.0,United States,Bloomberg LP,Media & Entertainment,United States,True,U,M,6/23/1954 0:00,Secunda,Thomas,1954.0,6.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Bloomberg LP,,
580,4700,Diversified,Zuowen Song,76.0,China,"Aluminum, diversified",Diversified,China,True,U,M,3/19/1947 0:00,Song,Zuowen,1947.0,3.0,19.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Aluminum, diversified,
580,4700,Media & Entertainment,Tim Sweeney,52.0,United States,Video games,Media & Entertainment,United States,True,D,M,12/13/1970 0:00,Sweeney,Tim,1970.0,12.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Video games,,
591,4600,Food & Beverage,Bert Beveridge,61.0,United States,Vodka,Food & Beverage,United States,True,U,M,1/1/1962 0:00,Beveridge,Bert,1962.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Vodka,,
591,4600,Media & Entertainment,Mark Cuban,64.0,United States,"Online media, Dallas Mavericks",Media & Entertainment,United States,True,D,M,7/31/1958 0:00,Cuban,Mark,1958.0,7.0,31.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Online media, Dallas Mavericks,
591,4600,Media & Entertainment,Charles Dolan & family,96.0,United States,Cable television,Media & Entertainment,United States,True,D,M,10/16/1926 0:00,Dolan,Charles,1926.0,10.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Cable television,,
591,4600,Technology,Jack Dorsey,46.0,United States,"Twitter, Square",Technology,United States,True,D,M,11/19/1976 0:00,Dorsey,Jack,1976.0,11.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Twitter, Square,
591,4600,Energy,Fan Hongwei,56.0,China,Petrochemicals,Energy,China,True,D,F,1/1/1967 0:00,Fan,Hongwei,1967.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Petrochemicals,,
591,4600,Metals & Mining,Vladimir Kim,62.0,Kazakhstan,Mining,Metals & Mining,Kazakhstan,True,D,M,10/29/1960 0:00,Kim,Vladimir,1960.0,10.0,29.0,182.75,5.2,180161741180.0,61.7,104.4,73.2,18513930.0,Mining,,
591,4600,Finance & Investments,"Andre Koo, Sr.",55.0,Taiwan,Financial services,Finance & Investments,Taiwan,False,D,M,5/25/1967 0:00,Koo,Andre,1967.0,5.0,25.0,,,,,,,,Financial services,,
591,4600,Fashion & Retail,Ronald Lauder,79.0,United States,Estee Lauder,Fashion & Retail,United States,False,D,M,2/26/1944 0:00,Lauder,Ronald,1944.0,2.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Estee Lauder,,
591,4600,Manufacturing,Li Chunan,54.0,China,Renewable energy,Manufacturing,China,True,D,M,10/10/1968 0:00,Li,Chunan,1968.0,10.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Renewable energy,,
591,4600,Media & Entertainment,Forrest Li,45.0,Singapore,Gaming,Media & Entertainment,Singapore,True,D,M,1/1/1978 0:00,Li,Forrest,1978.0,1.0,1.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,5703569.0,Gaming,,
591,4600,Telecom,Richard Li,56.0,Hong Kong,Telecom,Telecom,Hong Kong,False,D,M,11/8/1966 0:00,Li,Richard,1966.0,11.0,8.0,,,,,,,,Telecom,,
591,4600,Fashion & Retail,Doug Meijer & family,69.0,United States,Supermarkets,Fashion & Retail,United States,False,Split Family Fortune,M,1/22/1954 0:00,Meijer,Doug,1954.0,1.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Supermarkets,,
